word,alternatives,meanings,created_at,last_seen_at,parts_of_speech
並べる,ならべる,to line up (transitive),2026-08-12,2026-08-12,verb
選ぶ,えらぶ,to choose,2026-08-12,2026-08-12,verb
信じる,しんじる,to believe,2026-08-12,2026-08-12,verb
読む,よむ,to read,2026-08-12,2026-08-12,verb
過ぎる,すぎる,to be in excess,2026-08-12,2026-08-12,verb
渡す,わたす,to pass it on,2026-08-12,2026-08-12,verb
溢れる,あふれる,to overflow,2026-08-12,2026-08-12,verb
讃える,たたえる,to praise,2026-08-12,2026-08-12,verb
飲む,のむ,to drink,2026-08-12,2026-08-12,verb
なる,なる,to become,2026-08-12,2026-08-12,verb
生まれる,うまれる,to be born,2026-08-12,2026-08-12,verb
手伝う,てつだう,to help someone with something; to lend a hand,2026-08-12,2026-08-12,verb
話す,はなす,to talk,2026-08-12,2026-08-12,verb
祈る,いのる,to pray,2026-08-12,2026-08-12,verb
開ける,あける,to open (focusing on opening),2026-08-12,2026-08-12,verb
探す,さがす,to look for,2026-08-12,2026-08-12,verb
貰う,もらう,to receive (an action with gratitude),2026-08-12,2026-08-12,verb
受ける,うける,to receive (something material),2026-08-12,2026-08-12,verb
得る,うる,to obtain (something non-material),2026-08-12,2026-08-12,verb
売る,うる,to sell,2026-08-12,2026-08-12,verb
買う,かう,to buy,2026-08-12,2026-08-12,verb
待つ,まつ,to wait,2026-08-12,2026-08-12,verb
持つ,もつ,to have; to hold (a thing),2026-08-12,2026-08-12,verb
飼う,かう,to keep (a pet),2026-08-12,2026-08-12,verb
使う,つかう,to use,2026-08-12,2026-08-12,verb
用いる,もちいる,to utilize,2026-08-12,2026-08-12,verb
履く,はく,to wear (below the waist; pants; shoes),2026-08-12,2026-08-12,verb
着る,きる,to wear (below the head; above the waist; shirts),2026-08-12,2026-08-12,verb
かぶる,かぶる,to wear (hats),2026-08-12,2026-08-12,verb
かける,かける,to wear (sunglasses),2026-08-12,2026-08-12,verb
つける,つける,to wear (accessories; watches; scarves),2026-08-12,2026-08-12,verb
着く,つく,to arrive,2026-08-12,2026-08-12,verb
押す,おす,to push,2026-08-12,2026-08-12,verb
歩く,あるく,to walk,2026-08-12,2026-08-12,verb
感じる,かんじる,to feel,2026-08-12,2026-08-12,verb
並ぶ,ならぶ,to arrange; to line up,2026-08-12,2026-08-12,verb
変わる,かわる,to change,2026-08-12,2026-08-12,verb
変える,かえる,to change,2026-08-12,2026-08-12,verb
挟む,はさむ,to sandwich; to interject,2026-08-12,2026-08-12,verb
ハマる,はまる,to be into something,2026-08-12,2026-08-12,verb
◯◯「ます形ー動詞」切る,◯◯「ます形ー動詞」きる,to do (a verb) completely,2026-08-12,2026-08-12,verb
笑う,わらう,to laugh ,2026-08-12,2026-08-12,verb
笑む,えむ,to smile,2026-08-12,2026-08-12,verb
黙る,だまる,to shut up,2026-08-12,2026-08-12,verb
捲る,めくる,to turn over (a page in a book),2026-08-12,2026-08-12,verb
咲く,さく,to bloom,2026-08-12,2026-08-12,verb
吐き出す,はきだす,to spit out; to vomit; to vent (feelings),2026-08-12,2026-08-12,verb
送る,おくる,to send,2026-08-12,2026-08-12,verb
置く,おく,to place; to leave (something somewhere),2026-08-12,2026-08-12,verb
経つ,たつ,to pass (time),2026-08-12,2026-08-12,verb
捧げる,ささげる,to dedicate; to devote; to offer; to sacrifice,2026-08-12,2026-08-12,verb
掴む,つかむ,to grab,2026-08-12,2026-08-12,verb
触る,さわる,to touch,2026-08-12,2026-08-12,verb
座る,すわる,to sit,2026-08-12,2026-08-12,verb
立ち読みする,たちよみする,to stand and read; to browse,2026-08-12,2026-08-12,verb
戦う,たたかう,to fight,2026-08-12,2026-08-12,verb
吐く,はく,to vomit,2026-08-12,2026-08-12,verb
飛ぶ,とぶ,to fly,2026-08-12,2026-08-12,verb
掘る,ほる,to dig,2026-08-12,2026-08-12,verb
打つ,うつ,to hit (something; normally w/ a tool),2026-08-12,2026-08-12,verb
殴る,なぐる,to hit (inflict harm; doing violence),2026-08-12,2026-08-12,verb
ぶつかる,ぶつかる,to collide with; to encounter; to clash,2026-08-12,2026-08-12,verb
飼育する,しいくする,to feed and raise (an animal),2026-08-12,2026-08-12,verb
育てる,そだてる,to raise (animal or child or plants),2026-08-12,2026-08-12,verb
動く,うごく,to move,2026-08-12,2026-08-12,verb
働く,はたらく,to work,2026-08-12,2026-08-12,verb
出す,だす,to take out ,2026-08-12,2026-08-12,verb
出る,でる,to go out,2026-08-12,2026-08-12,verb
出かける,でかける,to go out,2026-08-12,2026-08-12,verb
止まる,とまる,to come to a halt,2026-08-12,2026-08-12,verb
止める,とめる,to stop (something; doing something),2026-08-12,2026-08-12,verb
抜ける,ぬける,to come out; to exit; to fall out; to escape,2026-08-12,2026-08-12,verb
配信する,はいしん,to broadcast; to deliver; to stream,2026-08-12,2026-08-12,verb
震える,ふるえる,to shake; to tremble,2026-08-12,2026-08-12,verb
配る,くばる,to distribute,2026-08-12,2026-08-12,verb
曲がる,まがる,to curve; to bend; to twist (intransitive),2026-08-12,2026-08-12,verb
曲げる,まげる,to curve; to bend; to twist (transitive),2026-08-12,2026-08-12,verb
投げる,なげる,to throw,2026-08-12,2026-08-12,verb
比べる,くらべる,to compare,2026-08-12,2026-08-12,verb
調べる,しらべる,to look up; to investigate,2026-08-12,2026-08-12,verb
登る,のぼる,to climb,2026-08-12,2026-08-12,verb
昇る,のぼる,to rise (like a salary),2026-08-12,2026-08-12,verb
空く,あく・すく,to be (completely) empty,2026-08-12,2026-08-12,verb
入れる,いれる,to put in (transitive),2026-08-12,2026-08-12,verb
入る,はいる,to enter; to go in; to come in; to be in (intransitive; even though the often used with ◯◯に入る),2026-08-12,2026-08-12,verb
いる,いる,to exist (animate object),2026-08-12,2026-08-12,verb
要る,いる,to need,2026-08-12,2026-08-12,verb
覚える,おぼえる,to memorize,2026-08-12,2026-08-12,verb
思い出す,おもいだす,to recall something,2026-08-12,2026-08-12,verb
忘れる,わすれる,to forget,2026-08-12,2026-08-12,verb
思う,おもう,to feel; to sense,2026-08-12,2026-08-12,verb
考える,かんがえる,to ponder; to consider (emphasizes the act of thinking),2026-08-12,2026-08-12,verb
開く,ひらく・あく,to open (like an unfolding; focusing on what is revealed),2026-08-12,2026-08-12,verb
閉ざす,とざす,to close abstract things; mentally; non-physical (transitive),2026-08-12,2026-08-12,verb
閉じる,とじる,to close; to close softer things like eyes (intransitive/transitive),2026-08-12,2026-08-12,verb
閉まる,しまる,to close (intransitive),2026-08-12,2026-08-12,verb
閉める,しめる,to close (transitive),2026-08-12,2026-08-12,verb
落とす,おとす,to drop (transitive),2026-08-12,2026-08-12,verb
落ちる,おちる,to fall (intransitive),2026-08-12,2026-08-12,verb
あげる,あげる,to give (speaker giving to someone),2026-08-12,2026-08-12,verb
くれる,くれる,to give (speaker is receiving from someone),2026-08-12,2026-08-12,verb
頑張る,がんばる,to give effort,2026-08-12,2026-08-12,verb
カッコつける,カッコつける,to show off,2026-08-12,2026-08-12,verb
