word,alternatives,meanings,created_at,last_seen_at,parts_of_speech
to line up (transitive),,並べる,2026-08-12,2026-08-12,verb
to choose,,選ぶ,2026-08-12,2026-08-12,verb
to believe,,信じる,2026-08-12,2026-08-12,verb
to read,,読む,2026-08-12,2026-08-12,verb
to be in excess,,過ぎる,2026-08-12,2026-08-12,verb
to pass it on,,渡す,2026-08-12,2026-08-12,verb
to overflow,,溢れる,2026-08-12,2026-08-12,verb
to praise,,讃える,2026-08-12,2026-08-12,verb
to drink,,飲む,2026-08-12,2026-08-12,verb
to become,,なる,2026-08-12,2026-08-12,verb
to be born,,生まれる,2026-08-12,2026-08-12,verb
to help someone with something,to lend a hand,手伝う,2026-08-12,2026-08-12,verb
to talk,,話す,2026-08-12,2026-08-12,verb
to pray,,祈る,2026-08-12,2026-08-12,verb
to open (focusing on opening),,開ける,2026-08-12,2026-08-12,verb
to look for,,探す,2026-08-12,2026-08-12,verb
to receive (an action with gratitude),,貰う,2026-08-12,2026-08-12,verb
to receive (something material),,受ける,2026-08-12,2026-08-12,verb
to obtain (something non-material),,得る,2026-08-12,2026-08-12,verb
to sell,,売る,2026-08-12,2026-08-12,verb
to buy,,買う,2026-08-12,2026-08-12,verb
to wait,,待つ,2026-08-12,2026-08-12,verb
to have,to hold (a thing),持つ,2026-08-12,2026-08-12,verb
to keep (a pet),,飼う,2026-08-12,2026-08-12,verb
to use,,使う,2026-08-12,2026-08-12,verb
to utilize,,用いる,2026-08-12,2026-08-12,verb
to wear (below the waist; pants; shoes),,履く,2026-08-12,2026-08-12,verb
to wear (below the head; above the waist; shirts),,着る,2026-08-12,2026-08-12,verb
to wear (hats),,かぶる,2026-08-12,2026-08-12,verb
to wear (sunglasses),,かける,2026-08-12,2026-08-12,verb
to wear (accessories; watches; scarves),,つける,2026-08-12,2026-08-12,verb
to arrive,,着く,2026-08-12,2026-08-12,verb
to push,,押す,2026-08-12,2026-08-12,verb
to walk,,歩く,2026-08-12,2026-08-12,verb
to feel,,感じる,2026-08-12,2026-08-12,verb
to arrange,to line up,並ぶ,2026-08-12,2026-08-12,verb
to change,,変わる,2026-08-12,2026-08-12,verb
to change,,変える,2026-08-12,2026-08-12,verb
to sandwich,to interject,挟む,2026-08-12,2026-08-12,verb
to be into something,,ハマる,2026-08-12,2026-08-12,verb
to do (a verb) completely,,◯◯「ます形ー動詞」切る,2026-08-12,2026-08-12,verb
to laugh,,笑う,2026-08-12,2026-08-12,verb
to smile,,笑む,2026-08-12,2026-08-12,verb
