the,,その,,,expression
be,,である,,,verb
and,,～と,,,conjunction
of,,の,,,expression
to,,～へ,,,expression
a,,一つの,,,expression
in,,～の中,,,expression
have,,持つ,,,verb
it,,それ,,,pronoun
you,,あなた,,,pronoun
he,,彼,,,pronoun
for,,～のため,,,expression
they,,彼ら,,,pronoun
not,,～でない,,,adverb
that,,あの,,,adjective
we,,私たち,,,pronoun
on,,～に接して,,,expression
with,,～と一緒,,,expression
this,,この,,,adjective
I,,私は,,,pronoun
do,,する,,,verb
as,,～のように,,,conjunction
at,,～で,,,expression
she,,彼女,,,pronoun
but,,でも,,,conjunction
from,,～から,,,expression
by,,の近くに,,,expression
will,,～だろう,,,verb
or,,～か,,,conjunction
say,,言う,,,verb
go,,行く,,,verb
so,,とても,,,adverb
all,,全て,,,expression
if,,もし,,,conjunction
one,,1、ひとり、ひとつ,,,noun
would,,～だろう,,,verb
about,,～について,,,expression
can,,～できる,,,verb
which,,どちらか,,,pronoun
there,,そこ,,,adverb
know,,知る,,,verb
more,,もっと,,,adverb
get,,得る,,,verb
who,,誰,,,pronoun
like,,好む,,,verb
when,,どこ,,,adverb
think,,思う,,,verb
make,,作る,,,verb
time,,時間,,,noun
see,,見る,,,verb
what,,なに,,,pronoun
up,,上がる,,,adverb
some,,いくらか,,,adjective
other,,他,,,adjective
out,,外へ,,,adverb
good,,良い,,,adjective
people,,人々,,,noun
year,,年,,,noun
take,,持っていく、取る,,,verb
no,,いいえ、ない,,,adverb
well,,上手く、上手に,,,adverb
because,,なぜならば,,,conjunction
very,,とても,,,adverb
just,,ただ～,,,adverb
come,,来る,,,verb
could,,できた,,,verb
work,,働く,,,verb
use,,使う,,,verb
than,,～より,,,conjunction
now,,今,,,adverb
then,,その時、それから,,,adverb
also,,～もまた,,,adverb
into,,～の中に,,,expression
only,,たった,,,adverb
look,,見る,,,verb
want,,欲しい,,,verb
give,,与える,,,verb
first,,最初,,,expression
new,,新しい,,,adjective
way,,方法,,,noun
find,,見つける,,,verb
over,,超える,,,expression
any,,何か,,,expression
after,,後で,,,expression
day,,日,,,noun
where,,どこ,,,adverb
thing,,物,,,noun
most,,もっとも,,,adverb
should,,～すべき,,,verb
need,,必要とする,,,verb
much,,たくさん,,,adverb
right,,正しい,,,adjective
how,,どのようにして,,,adverb
back,,背,,,noun
mean,,～するつもりだ,,,verb
even,,平らな、等しい,,,adverb
may,,かもしれない,,,verb
here,,ここ,,,adverb
many,,たくさん,,,expression
such,,そのような,,,adjective
last,,最後,,,expression
child,,子供,,,noun
tell,,話す,,,verb
really,,本当に,,,adverb
call,,呼ぶ,,,verb
before,,以前,,,expression
company,,会社,,,noun
through,,～の間,,,expression
down,,下へ,,,adverb
show,,見せる,,,verb
life,,生命,,,noun
man,,男性,,,noun
change,,変える,,,verb
place,,場所,,,noun
long,,長い,,,adjective
between,,～の間,,,expression
feel,,感じる,,,verb
too,,～もまた,,,adverb
still,,まだ,,,adverb
problem,,問題,,,noun
write,,書く,,,verb
same,,同じ,,,adjective
lot,,用地,,,noun
great,,巨大な、多量の,,,adjective
try,,試す,,,verb
leave,,去る,,,verb
number,,数字,,,noun
both,,両方とも,,,expression
own,,自身の,,,expression
part,,部品,,,noun
point,,主張,,,noun
little,,少し、小さい,,,adjective
help,,助ける,,,verb
ask,,求める,,,verb
meet,,会う,,,verb
start,,始める,,,verb
talk,,話す,,,verb
something,,何か,,,pronoun
put,,置く,,,verb
another,,もう一つ,,,expression
become,,なる,,,verb
interest,,興味,,,noun
country,,国,,,noun
old,,古い,,,adjective
each,,各々,,,adjective
school,,学校,,,noun
late,,遅れる,,,adjective
high,,高い,,,adjective
different,,違う,,,adjective
off,,離れて,,,adverb
next,,次,,,expression
end,,終わり,,,noun
live,,生きる,,,verb
why,,なぜ,,,adverb
while,,間,,,conjunction
world,,世界,,,noun
week,,週,,,noun
play,,遊ぶ,,,verb
might,,～かもしれない,,,verb
must,,～しなければならない,,,verb
home,,住まい,,,noun
never,,決して～しない,,,adverb
include,,含む,,,verb
course,,進路,,,noun
house,,家,,,noun
report,,報告,,,noun
group,,集団,,,noun
case,,事例,,,noun
woman,,女性,,,noun
around,,～の周りに,,,expression
book,,本,,,noun
family,,家族,,,noun
seem,,～のように思われる,,,verb
let,,させる,,,verb
again,,再び,,,adverb
kind,,親切,,,adjective
keep,,保つ,,,verb
hear,,聞く,,,verb
system,,システム,,,noun
every,,毎,,,expression
question,,質問する,,,verb
during,,間,,,expression
always,,いつも,,,adverb
big,,大きい,,,adjective
set,,設置する,,,verb
small,,小さい,,,adjective
study,,勉強する、研究する,,,verb
follow,,ついて行く,,,verb
begin,,始める,,,verb
important,,大切,,,adjective
since,,～なので、～だから,,,conjunction
run,,走る,,,verb
under,,下に,,,expression
turn,,回る,,,verb
few,,少し,,,expression
bring,,持っていく,,,verb
early,,早い,,,adjective
hand,,手,,,noun
state,,状態,,,noun
move,,動かす,,,verb
money,,金,,,noun
fact,,事実,,,noun
however,,しかし,,,adverb
area,,地域,,,noun
provide,,提供する,,,verb
name,,名前,,,noun
read,,読む,,,verb
friend,,友達,,,noun
month,,口,,,noun
large,,大きい,,,adjective
business,,ビジネス、商売,,,noun
without,,～なしに,,,expression
information,,情報,,,noun
open,,開いている,,,adjective
order,,命令,,,noun
government,,政府,,,noun
word,,語,,,noun
issue,,問題,,,noun
market,,市場,,,noun
pay,,はらう,,,verb
build,,建てる,,,verb
hold,,手に持つ,,,verb
service,,奉仕、勤務,,,noun
against,,反対に、逆らって,,,expression
believe,,信じる,,,verb
second,,秒,,,expression
though,,だが,,,conjunction
yes,,はい,,,interjection
love,,愛,,,noun
increase,,増える,,,verb
job,,仕事,,,noun
plan,,予定,,,noun
result,,結果,,,noun
away,,離れて・去って,,,adverb
example,,例,,,noun
happen,,起こる,,,verb
offer,,申し出る,,,verb
young,,若い,,,adjective
close,,閉める,,,verb
program,,プログラム,,,noun
lead,,導く,,,verb
buy,,買う,,,verb
understand,,理解する,,,verb
thank,,感謝する,,,verb
far,,遠い,,,adverb
today,,今日,,,noun
hour,,時間,,,noun
student,,生徒,,,noun
face,,顔,,,noun
hope,,望む,,,noun
idea,,アイデア,,,noun
cost,,費用,,,noun
less,,より少ない,,,adverb
room,,部屋,,,noun
until,,まで,,,conjunction
reason,,理由,,,noun
form,,形,,,noun
spend,,費やす,,,verb
head,,頭,,,noun
car,,車,,,noun
learn,,学ぶ,,,verb
level,,高さ,,,noun
person,,人,,,noun
experience,,経験,,,noun
once,,一度,,,adverb
member,,メンバー,,,noun
enough,,十分,,,adverb
bad,,悪い,,,adjective
city,,都市,,,noun
night,,夜,,,noun
able,,できる,,,adjective
support,,支える,,,verb
whether,,～かどうか,,,conjunction
line,,線,,,noun
present,,現在,,,adjective
side,,端,,,noun
quite,,かなり,,,adverb
although,,だけれども,,,conjunction
sure,,確信,,,adjective
term,,用語,,,noun
least,,最小,,,expression
age,,年齢,,,noun
low,,低い,,,adjective
speak,,話す,,,verb
within,,以内に,,,expression
process,,過程,,,noun
public,,公共,,,adjective
often,,しばしば,,,adverb
train,,電車,,,noun
possible,,可能性,,,adjective
actually,,実際,,,adverb
rather,,やや、割に,,,adverb
